business_id,name,city,state,latitude,longitude,stars,review_count,categories
P8brGDYVWjeW9GrKixH0yQ,Laser Spine Institute,Tampa,FL,27.9586132,-82.5325949,3.0,36,"Medical Centers, Doctors, Diagnostic Services, Health & Medical, Orthopedists, Spine Surgeons, Diagnostic Imaging"
E_kLUlU60fzoZYAOxbH_3w,Pain Institute of Southern Arizona,Tucson,AZ,32.2891826,-110.9572299,2.5,43,"Pain Management, Doctors, Health & Medical, Osteopathic Physicians"
t5tBd4p7BA7hNDitBUXxrw,Boise Therapeutic Massage Center,Boise,ID,43.6119488,-116.2711098,4.0,68,"Massage, Health & Medical, Medical Spas, Beauty & Spas"
6bFx8j2KqPfmT0XEUS1RMg,Center City Emergency Dentist,Philadelphia,PA,39.9497345,-75.165436,3.5,120,"Orthodontists, Health & Medical, Oral Surgeons, General Dentistry, Dentists, Cosmetic Dentists"
yooufdsf3eAVq_9RQNSDJA,Mazzoni Center,Philadelphia,PA,39.9426271,-75.1650829,3.0,46,"Local Services, Community Service/Non-Profit, Health & Medical, Doctors, Family Practice, Medical Centers, Counseling & Mental Health"
-Ijm5ICZUZffTo3iumczrw,MedExpress Urgent Care,Largo,FL,27.892834976,-82.7845353864,2.5,39,"Doctors, Health & Medical, Urgent Care, Walk-in Clinics, Medical Centers, Family Practice"
NIV7uxsE8rn8cB1t-FsJHg,Saint Marys Medical Group,Reno,NV,39.51769,-119.882714,2.5,26,"Health & Medical, Urgent Care, Doctors"
0WIlsDUUFuUKcDfJPaHRkA,Temple University Hospital ,Philadelphia,PA,40.0054237,-75.1507198,2.0,67,"Hospitals, Health & Medical, Optometrists"
EcP5_cCKZqtRv_HJiALMtA,IU Health Urgent Care - Broadripple,Indianapolis,IN,39.870111,-86.140302,2.0,24,"Health & Medical, Urgent Care"
X7FQ5k29A_RRYep7TOfjtw,"Dawna Ara, DACM, LAc",Santa Barbara,CA,34.4392950745,-119.7443122433,5.0,54,"Health & Medical, Beauty & Spas, Skin Care, Acupuncture, Massage, Traditional Chinese Medicine"
BQkH3UGGtXzU4IfZewaw_w,WobbeMassage,New Orleans,LA,29.9672924,-90.09063,5.0,30,"Health & Medical, Beauty & Spas, Massage Therapy, Day Spas, Massage"
EYI8_RsZyfu8x6lYgvc-2w,ImmediaDent - Urgent Dental Care,Indianapolis,IN,39.905771308,-86.0607146613,2.0,22,"General Dentistry, Endodontists, Urgent Care, Dental Hygienists, Dentists, Health & Medical, Cosmetic Dentists, Periodontists"
-AjSXsdPtBhWl0kY1-QsoA,Optilife Chiropractic,Tampa,FL,28.083473,-82.5772677,5.0,30,"Chiropractors, Physical Therapy, Massage Therapy, Health & Medical"
v2UmYZ1rPT48IroaD0xZAQ,reYOU massage,Philadelphia,PA,39.949195,-75.1629437,4.0,63,"Massage, Health & Medical, Beauty & Spas, Medical Spas"
z7sp6u5JnNlq2ziu31EFvw,CVS Optical,Philadelphia,PA,39.9315261618,-75.1607671842,2.5,35,"Shopping, Food, Health & Medical, Pharmacy, Convenience Stores, Drugstores"
mmgLzBE0vjgZGY31EOrPIw,Future Fitness,Mount Laurel,NJ,39.9762075,-74.8695361,2.0,35,"Fitness & Instruction, Health & Medical, Weight Loss Centers, Active Life, Gyms, Trainers"
ymFuVzms2gjCxyD5bBqKdQ,Clayman Thyroid Center,Town 'n' Country,FL,28.0024179,-82.5751776,5.0,67,"Oncologist, Health & Medical, Surgeons, Doctors"
qAltKw1eFbee8rylmXuX9w,Skin Cancer & Dermatology Institute,Reno,NV,39.4292768,-119.7539518,3.5,20,"Dermatologists, Medical Spas, Health & Medical, Skin Care, Doctors, Beauty & Spas"
LfYUOclwLs_SPrNAdKMjsw,Ralston Massage Center,Reno,NV,39.5049219,-119.8032831,4.5,39,"Health & Medical, Beauty & Spas, Massage, Physical Therapy, Massage Therapy"
wl69QZhv9GvYycW97DW05g,GrowHealthy - Brandon,Brandon,FL,27.9370999875,-82.2624700516,3.5,32,"Pharmacy, Cannabis Clinics, Health & Medical, Shopping, Cannabis Dispensaries"
Wz5Ky7sW5jyCkouCCsdP_w,Out of the Closet - St. Petersburg,St. Petersburg,FL,27.7444017,-82.6798601,4.0,21,"Walk-in Clinics, Medical Supplies, Pharmacy, Furniture Stores, Thrift Stores, Fashion, Drugstores, Used, Vintage & Consignment, Community Service/Non-Profit, Diagnostic Services, Home & Garden, Laboratory Testing, Shopping, Health & Medical, Local Services, Medical Centers"
4-WY7Omp6ibxkdKk3abQ3A,Community Hospital South,Indianapolis,IN,39.637759,-86.132597,2.5,32,"Health & Medical, Hospitals"
__yJPcT-C68DuQ4dHdsrmg,Dentistry on 1st,Tucson,AZ,32.2941295058,-110.9616443264,2.5,20,"Dentists, Cosmetic Dentists, Health & Medical, Endodontists, General Dentistry"
EQjJzvWs72ZPzhLQC9SiPA,Rosen & Dworkin,Marlton,NJ,39.8886852,-74.9233205,4.5,25,"Cosmetic Dentists, Oral Surgeons, Periodontists, Health & Medical, General Dentistry, Dentists"
mtdW6vnFQdkiD5R5NCGrQQ,Zen Reflexology & Massage Spa,Tucson,AZ,32.220567,-110.8402663,3.0,24,"Reflexology, Health & Medical, Beauty & Spas, Massage, Massage Therapy"
OpXFFEDRXj-JakazHvxY9Q,Outsiders Hair Studio & Salon,Reno,NV,39.5221809,-119.8222169,4.5,58,"Barbers, Reiki, Makeup Artists, Beauty & Spas, Hair Salons, Health & Medical"
hCVI83K0MvSkQMcQvOs-ug,Exodus Women's Center,Tampa,FL,27.9816696492,-82.4866756,1.0,24,"Doctors, Health & Medical, Obstetricians & Gynecologists"
oY5LFo6Yxxf32ePna6mEUQ,Chung Dam Spa & Fitness,Cheltenham,PA,40.051118,-75.116865,3.5,102,"Massage Therapy, Beauty & Spas, Health & Medical, Day Spas, Reflexology"
pdc4NvS9dvOAH9O3N5INbQ,Elements Massage - Cherry Hill,Cherry Hill,NJ,39.9162629,-75.0088381,4.0,55,"Massage Therapy, Beauty & Spas, Health & Medical, Massage"
9xPFNAQ5vG7PG0VD2rdoIA,City Hydration,Philadelphia,PA,39.949279331,-75.1629582236,5.0,25,"Beauty & Spas, IV Hydration, Medical Spas, Health & Medical"
rQ2CSHRkZSn5WCu7OfVI-Q,Trend Eye Care,Philadelphia,PA,39.968969,-75.139531415,5.0,193,"Health & Medical, Shopping, Fashion, Optometrists, Accessories, Eyewear & Opticians"
401JuPDLoSMUewuzG40csw,HonorHealth | FastMed Urgent Care,Tucson,AZ,32.2066006,-110.8732431,2.0,25,"Doctors, Urgent Care, Health & Medical, Medical Centers"
bz8b0TQND7ms228uK17p5Q,Westside Chiropractic,Reno,NV,39.5097844,-119.8135944,5.0,22,"Health & Medical, Chiropractors"
YjcWqy2UfCmBeiPbgdFxVA,CVS Pharmacy,Drexel Hill,PA,39.9594985031,-75.2882701022,2.0,24,"Health & Medical, Pharmacy, Drugstores, Food, Convenience Stores, Shopping"
m0J32LZvlTFgnWZsqxUHIQ,HCI Alternatives,Collinsville,IL,38.6780873,-90.0164324,2.5,47,"Cannabis Dispensaries, Health & Medical, Cannabis Clinics, Shopping"
4M4s1KkWwcuHFccdz4QCJQ,Pediatric Dental Care,Franklin,TN,35.9174452,-86.8251996,4.0,23,"Health & Medical, General Dentistry, Pediatric Dentists, Cosmetic Dentists, Dentists, Professional Services"
0kLivwqFCIAb2V7Vhndpow,Dentistry For Life,Philadelphia,PA,39.9500233,-75.1675812,4.5,61,"Health & Medical, Orthodontists, Oral Surgeons, Dentists, General Dentistry, Endodontists, Cosmetic Dentists"
K5QTROUbyFCHecjbOzGjBw,Alvernon Optical,Tucson,AZ,32.2580523,-110.9426436,3.5,29,"Health & Medical, Eyewear & Opticians, Shopping, Optometrists"
dKfMKFaiHC_9XLHdqhFN2w,The Sporting Club at the Bellevue,Philadelphia,PA,39.9488519132,-75.1644102484,3.5,137,"Contractors, Active Life, Fitness & Instruction, Pickleball, Weight Loss Centers, Home Services, Health & Medical, Swimming Pools, Pilates, Gyms, Boot Camps"
tZu-H64Cimd-JTr9y9U46A,Pediatric Care Group,Jenkintown,PA,40.090334,-75.124347,3.5,25,"Pediatricians, Pediatric Dentists, Health & Medical, Dentists, Doctors"
fYnvhdWXgWit8DhDLPrSTQ,Shangri-La Bath & Sauna,Tampa,FL,27.996714,-82.3913739,4.5,85,"Health & Medical, Saunas, Sports Clubs, Hotels & Travel, Active Life, Beauty & Spas, Resorts, Day Spas, Food"
96752mk7VlAUtWg8o02Tvw,Center City Pediatrics,Philadelphia,PA,39.9441659,-75.1717273,3.5,35,"Health & Medical, Doctors, Pediatricians"
6Uxhw_P6u_V4y-vvCLizAg,Cool Springs Internal Medicine & Pediatrics,Brentwood,TN,35.9683971,-86.8038308,3.0,30,"Pediatricians, Health & Medical, Internal Medicine, Doctors"
tASk64QgOZgeM_APz7wJFA,Urban Optics Optometric Center,Santa Barbara,CA,34.4228741,-119.7034351,5.0,101,"Health & Medical, Eyewear & Opticians, Sunglasses, Optometrists, Laser Eye Surgery/Lasik, Ophthalmologists, Doctors, Shopping"
vUsNf2WAePvZT1nMccdUOA,St. Louis Pediatric Dentistry,Saint Louis,MO,38.584119,-90.450307,4.0,31,"Pediatric Dentists, Dentists, Health & Medical"
OM_Z45gRd8YH2J6tFlYENQ,Newsom Eye - South Tampa,Tampa,FL,27.9436057,-82.4853801,3.5,29,"Eyewear & Opticians, Ophthalmologists, Health & Medical, Shopping, Doctors, Optometrists"
55GNarL5MuVzJEslW7QjbA,Eye Encounters,Philadelphia,PA,39.955381,-75.202544,2.5,20,"Eyewear & Opticians, Shopping, Optometrists, Health & Medical"
0Zvrh9rCrThh1ZwGaTbDjA,Sound Stone Massage Spa,St. Louis,MO,38.558005,-90.388258,4.5,43,"Chiropractors, Hair Salons, Beauty & Spas, Day Spas, Massage, Nail Salons, Health & Medical, Hair Removal"
tg0HtzW8471rkWJNWbvqXA,Massage Envy - Lutz,Lutz,FL,28.126319,-82.500801,3.5,42,"Massage, Health & Medical, Beauty & Spas, Skin Care, Massage Therapy"
2K19T1WL1EqTPs4KYjrkeQ,AFC URGENT CARE SEMINOLE,Seminole,FL,27.8417647749,-82.794712262,2.0,35,"Health & Medical, Doctors, Family Practice, Medical Centers, Walk-in Clinics, Urgent Care"
wDZycYda-7AgWm7KcHb8ow,Reno Massage & Wellness,Reno,NV,39.5176821,-119.8129401,4.5,31,"Active Life, Fitness & Instruction, Health & Medical, Yoga, Massage, Massage Therapy, Reflexology, Beauty & Spas"
ZDz-J0khVGbG2iSThdbAsA,Massage Envy - Plymouth Meeting,Plymouth Meeting,PA,40.1153304,-75.2819671,2.5,26,"Massage, Health & Medical, Massage Therapy, Day Spas, Beauty & Spas, Skin Care"
P6fQZruWG886KpegSaNddg,TGH Urgent Care powered by Fast Track,Tampa,FL,28.0482383125,-82.5179059153,3.5,48,"Family Practice, Doctors, Health & Medical, Urgent Care, Walk-in Clinics, Medical Centers"
