business_name,city,state,total_reviews,avg_stars,positive_review_ratio,doctor_care_score,staff_behavior_score,billing_cost_score,wait_time_score,communication_score,cleanliness_facility_score
12 South Dental Studio,Nashville,TN,20,4.85,95.0,0.45,0.5,0.1,0.05,0.2,0.75
18|8 Fine Men's Salons - Carmel ,Carmel,IN,34,4.41,85.29,0.1471,0.2941,0.0588,0.1176,0.0294,0.1176
20/20 Vision,Sparks,NV,23,4.43,86.96,0.3043,0.6957,0.1304,0.1304,0.0,0.2609
212 Cafe and Wellness Center,Nashville,TN,102,3.71,68.63,0.0098,0.1078,0.049,0.0196,0.0588,0.0882
24/7 Healthcare - Downtown Urgent Care,Saint Louis,MO,84,3.74,66.67,0.369,0.3571,0.0714,0.2024,0.1548,0.1548
3000BC - Chestnut Hill,Philadelphia,PA,43,3.74,72.09,0.1395,0.2093,0.0233,-0.0698,-0.0233,0.093
3D Keepsake Imaging,Reno,NV,40,4.58,90.0,0.175,0.45,0.2,0.3,0.225,0.45
4U Fitness St Pete,St. Petersburg,FL,33,4.85,96.97,0.0303,0.2424,0.0303,0.0909,0.1818,0.1818
61Five Health & Wellness,Nashville,TN,85,4.91,98.82,0.3882,0.4706,0.1294,0.2235,0.1882,0.1647
7 O'Clock Dental,New Orleans,LA,28,4.21,78.57,0.25,0.5357,0.1429,0.2857,0.1429,0.2857
7th Sense Wellness & Massage,New Orleans,LA,44,4.61,90.91,0.25,0.1591,0.0682,0.1364,0.0682,0.0909
805 Rolfing and Massage,Santa Barbara,CA,53,4.77,94.34,0.1698,0.2075,0.0189,0.0755,0.1887,0.0377
9th Street Family Dentistry,Philadelphia,PA,33,4.36,84.85,0.2424,0.5758,0.303,0.1212,0.2121,0.5758
A Balanced Life Massage,Wilmington,DE,39,3.21,51.28,-0.1026,-0.0513,-0.1538,-0.1282,-0.1795,-0.0513
A Caring Dentist,Tampa,FL,28,4.61,89.29,0.3214,0.6429,0.0714,0.1429,0.1429,0.25
A Magical Escape Therapeutic Bodyworks,Wilmington,DE,22,4.73,90.91,0.0,0.4091,0.3182,0.0909,0.0455,0.2273
A New Hope Hypnosis,Philadelphia,PA,21,4.19,80.95,0.0476,0.0476,-0.0952,0.0,0.0476,-0.0476
A Place For Women,Seminole,FL,35,2.77,40.0,-0.0857,-0.0571,-0.1714,-0.0857,-0.0857,-0.1714
A Place To Float,Indianapolis,IN,47,4.77,95.74,0.1064,0.4681,0.0426,0.1915,0.1915,0.6383
A+ Family Urgent Care,Tampa,FL,44,4.7,93.18,0.5455,0.5227,0.0455,0.3182,0.1364,0.25
AA Foot spa,Nashville,TN,36,4.56,94.44,0.0278,0.1389,0.2778,0.2222,0.0,0.4167
AAA Foot Reflexology,Tucson,AZ,22,4.23,81.82,0.0,0.0909,0.0455,0.0455,-0.0455,0.2273
ADA West Dermatology,Meridian,ID,51,3.71,66.67,0.2549,0.3137,-0.098,0.2157,0.0784,0.1373
AFC Fitness,Jenkintown,PA,26,2.62,38.46,-0.0385,0.1538,-0.1923,-0.1154,-0.1923,-0.0769
