business_name,city,state,total_reviews,avg_stars,positive_review_ratio,doctor_care_score,staff_behavior_score,billing_cost_score,wait_time_score,communication_score,cleanliness_facility_score,stars_norm,sentiment_norm,reviews_norm,positive_aspects,negative_penalty,recommendation_score,recommendation_percentile,evidence_strength,doctor_vs_peer,staff_vs_peer,billing_vs_peer,wait_vs_peer,communication_vs_peer,cleanliness_vs_peer,stars_vs_peer,positive_ratio_vs_peer
Total Access Urgent Care,Saint Louis,MO,532,4.47,86.84,0.6034,0.6184,0.0639,0.2669,0.1053,0.3271,0.867499999783125,0.8684000000000001,0.8737201365172803,0.41355,0.1654,67.46,100.0,High,0.5297,0.4225,0.0823,0.2646,0.1007,0.2369,0.8826,23.4931
Clayman Thyroid Center,Town 'n' Country,FL,69,4.99,100.0,0.8551,0.6522,0.1014,0.3333,0.3768,0.2899,0.9974999997506252,1.0,0.0836177474401303,0.5435,0.21735,64.88,99.96,Medium,0.7814,0.4563,0.1198,0.331,0.3722,0.1997,1.4026,36.6531
Brosy Family Dentistry,Reno,NV,24,5.0,100.0,0.2917,0.875,0.125,0.2083,0.1667,0.9167,0.99999999975,1.0,0.0068259385665412,0.562525,0.16665,64.69,99.87,Low,0.218,0.6791,0.1434,0.206,0.1621,0.8265,1.4126,36.6531
Swift Urgent Clinic,Sparks,NV,22,5.0,100.0,0.7727,0.7727,0.0,0.4545,0.4091,0.4091,0.99999999975,1.0,0.0034129692832706,0.5909,0.22725,64.6,99.83,Low,0.699,0.5768,0.0184,0.4522,0.4045,0.3189,1.4126,36.6531
South Philly Barbacoa,Philadelphia,PA,606,4.6,89.77,0.038,0.2211,0.0825,0.2475,0.0561,0.0231,0.8999999997749999,0.8976999999999999,0.9999999999982936,0.084575,0.165,64.48,99.74,High,-0.0357,0.0252,0.1009,0.2452,0.0515,-0.0671,1.0126,26.4231
"Erik S Wipf, DDS",Santa Barbara,CA,67,4.94,98.51,0.4328,0.7463,0.0597,0.1791,0.2388,0.6269,0.98499999975375,0.9851,0.0802047781568597,0.5112,0.1194,64.41,99.7,Medium,0.3591,0.5504,0.0781,0.1768,0.2342,0.5367,1.3526,35.1631
High Desert Endodontic Specialists,Reno,NV,22,5.0,100.0,0.2727,0.8182,0.0909,0.0909,0.5,0.3182,0.99999999975,1.0,0.0034129692832706,0.477275,0.0909,63.69,99.57,Low,0.199,0.6223,0.1093,0.0886,0.4954,0.228,1.4126,36.6531
Rittenhouse Acupuncture,Philadelphia,PA,39,4.97,100.0,0.7692,0.3333,0.0513,0.2821,0.6154,0.2821,0.992499999751875,1.0,0.0324232081910709,0.5,0.1667,63.59,99.52,Low,0.6955,0.1374,0.0697,0.2798,0.6108,0.1919,1.3826,36.6531
Alford Pediatric & General Dentistry,Reno,NV,35,4.91,97.14,0.3429,0.8286,0.1714,0.2286,0.4286,0.7143,0.9774999997556252,0.9714,0.0255972696245296,0.5786,0.2,63.57,99.48,Low,0.2692,0.6327,0.1898,0.2263,0.424,0.6241,1.3226,33.7931
Wells Endodontics,Wesley Chapel,FL,22,4.95,100.0,0.4545,0.8182,0.0455,0.1818,0.4091,0.3182,0.9874999997531252,1.0,0.0034129692832706,0.5,0.11365,63.54,99.44,Low,0.3808,0.6223,0.0639,0.1795,0.4045,0.228,1.3626,36.6531
"Benjamin Laudig, DDS",Goleta,CA,46,4.93,100.0,0.2609,0.8478,0.2174,0.1739,0.3043,0.6522,0.982499999754375,1.0,0.0443686006825181,0.5163,0.19565,63.51,99.39,Medium,0.1872,0.6519,0.2358,0.1716,0.2997,0.562,1.3426,36.6531
Wright & Feusier Orthodontics,Santa Barbara,CA,20,5.0,100.0,0.55,0.8,0.25,0.3,0.3,0.55,0.99999999975,1.0,0.0,0.55,0.275,63.25,99.35,Low,0.4763,0.6041,0.2684,0.2977,0.2954,0.4598,1.4126,36.6531
Empirical Point Acupuncture,Philadelphia,PA,22,5.0,100.0,0.6818,0.4545,0.0455,0.1364,0.3636,0.3182,0.99999999975,1.0,0.0034129692832706,0.4545249999999999,0.09095,63.23,99.31,Low,0.6081,0.2586,0.0639,0.1341,0.359,0.228,1.4126,36.6531
Acne Specialists of Nashville,Nashville,TN,28,5.0,100.0,0.9643,0.1429,0.0357,0.3571,0.7143,0.1429,0.99999999975,1.0,0.0136518771330825,0.4911,0.1964,63.06,99.26,Low,0.8906,-0.053,0.0541,0.3548,0.7097,0.0527,1.4126,36.6531
Battle Born Eye Care,Reno,NV,22,4.91,95.45,0.8636,0.7273,0.1364,0.0909,0.2727,0.3182,0.9774999997556252,0.9545,0.0034129692832706,0.54545,0.11365,63.01,99.22,Low,0.7899,0.5314,0.1548,0.0886,0.2681,0.228,1.3226,32.1031
"William B Putterman, OD",Philadelphia,PA,35,4.91,97.14,0.6286,0.8571,0.2286,0.2857,0.3143,0.5143,0.9774999997556252,0.9714,0.0255972696245296,0.5785750000000001,0.25715,62.99,99.17,Low,0.5549,0.6612,0.247,0.2834,0.3097,0.4241,1.3226,33.7931
"Rebecca Downie, DDS",Tampa,FL,47,4.98,100.0,0.4681,0.617,0.234,0.1915,0.1277,0.6809,0.99499999975125,1.0,0.0460750853241534,0.473425,0.21275,62.88,99.13,Medium,0.3944,0.4211,0.2524,0.1892,0.1231,0.5907,1.3926,36.6531
My Eye Dr,Tampa,FL,31,4.84,96.77,0.3871,0.871,0.1935,0.1613,0.5161,0.4839,0.95999999976,0.9677,0.0187713310579884,0.5645249999999999,0.1774,62.79,99.07,Low,0.3134,0.6751,0.2119,0.159,0.5115,0.3937,1.2526,33.4231
Santa Barbara Family Chiropractic,Santa Barbara,CA,36,4.89,97.22,0.8056,0.3611,0.0,0.0278,0.25,0.3889,0.972499999756875,0.9722,0.027303754266165,0.4514,0.0139,62.78,99.0,Low,0.7319,0.1652,0.0184,0.0255,0.2454,0.2987,1.3026,33.8731
Chiropractic Care Centre,Tampa,FL,21,5.0,100.0,0.4286,0.7619,0.0476,0.2381,0.1429,0.4762,0.99999999975,1.0,0.0017064846416353,0.4524,0.14285,62.65,98.91,Low,0.3549,0.566,0.066,0.2358,0.1383,0.386,1.4126,36.6531
Ferris Orthodontic Group,Santa Barbara,CA,43,4.91,100.0,0.4419,0.814,0.186,0.3488,0.3023,0.5116,0.9774999997556252,1.0,0.0392491467576122,0.51745,0.2673999999999999,62.59,98.87,Medium,0.3682,0.6181,0.2044,0.3465,0.2977,0.4214,1.3226,36.6531
Tanque Verde Pediatrics,Tucson,AZ,35,4.83,94.29,0.7143,0.6571,0.0286,0.2571,0.4286,0.4571,0.957499999760625,0.9429,0.0255972696245296,0.564275,0.14285,62.54,98.83,Low,0.6406,0.4612,0.047,0.2548,0.424,0.3669,1.2426,30.9431
Fingeret Dental,Newtown,PA,32,4.88,96.88,0.3125,0.7812,0.0625,0.2188,0.3125,0.6562,0.9699999997575,0.9688,0.0204778156996237,0.5156000000000001,0.14065,62.53,98.78,Low,0.2388,0.5853,0.0809,0.2165,0.3079,0.566,1.2926,33.5331
Trend Eye Care,Philadelphia,PA,198,4.8,94.95,0.5,0.7222,0.2626,0.2323,0.2323,0.1768,0.9499999997625,0.9495,0.3037542662110857,0.407825,0.24745,62.48,98.74,High,0.4263,0.5263,0.281,0.23,0.2277,0.0866,1.2126,31.6031
Arnold Smiles,Arnold,MO,26,5.0,100.0,0.1923,0.7308,0.0769,0.2308,0.1538,0.6923,0.99999999975,1.0,0.0102389078498118,0.4423,0.15385,62.46,98.7,Low,0.1186,0.5349,0.0953,0.2285,0.1492,0.6021,1.4126,36.6531
Berry Hill Chiropractic and Wellness,Nashville,TN,21,5.0,100.0,0.619,0.6667,0.1429,0.1905,0.2857,0.2381,0.99999999975,1.0,0.0017064846416353,0.4523749999999999,0.1667,62.41,98.65,Low,0.5453,0.4708,0.1613,0.1882,0.2811,0.1479,1.4126,36.6531
